college,State,region
Coffeyville Community College,KS,Northeast
Colby Community College,KS,Northeast
Dodge City Community College,KS,Northeast
Donnelly College,KS,Northeast
Fort Hays State University,KS,Kansas City Metro
Fort Scott Community College,KS,Kansas City Metro
Barclay College,KS,Southeast
Friends University,KS,West
Garden City Community College,KS,West
Hesston College,KS,South Central
Highland Community College,KS,South Central
Hutchinson Community College,KS,South Central
Independence Community College,KS,South Central
Kansas City Kansas Community College,KS,Wichita (Sedgwick)
Pittsburg State University,KS,Wichita (Sedgwick)
Emporia State University,KS,Northeast
Kansas State University,KS,Northeast
Kansas Wesleyan University,KS,Northeast
Labette Community College,KS,Northeast
Manhattan Christian College,KS,Kansas City Metro
McPherson College,KS,Kansas City Metro
Neosho County Community College,KS,Southeast
Ottawa University,KS,West
Pratt Ì¤ College,KS,West
Newman University,KS,South Central
Southwestern College,KS,South Central
University of Saint Mary,KS,South Central
Sterling College,KS,South Central
or College,KS,Wichita (Sedgwick)
University of Kansas,KS,Wichita (Sedgwick)
Washburn University - Topeka,KS,Northeast
Wichita State University,KS,Northeast
Barton County Community College,KS,Northeast
Flint Hills Technical College,KS,Northeast
North Central Kansas Technical College,KS,Kansas City Metro
Northwest Kansas Technical College,KS,Kansas City Metro
Wichita Area Technical College,KS,Southeast
Salina Area Technical College,KS,West
Manhattan Area Technical College,KS,West
Brown Mackie College (The),KS,South Central
MidAmerica Nazarene University,KS,South Central
Seward County Community College/Area Technical School,KS,South Central
Johnson County Community College,KS,South Central
Marinello School of Beauty,KS,Wichita (Sedgwick)
Benedictine College,KS,Wichita (Sedgwick)
Haskell Indian Nations University,KS,Northeast
Cleveland University-Kansas City,KS,Northeast
LaBaron Hairdressing Academy,KS,Northeast
Pinnacle Career Institute,KS,Northeast
Marinello School of Beauty,KS,Kansas City Metro
Entourage Institute of Beauty and Esthetics,KS,Kansas City Metro
Alice Lloyd College,KY,Communicare and River Valley
Asbury University,KY,Communicare and River Valley
Asbury Theological Seminary,KY,Communicare and River Valley
Bellarmine University,KY,"Adanta, Cumberland River, and Lifeskills"
Berea College,KY,"Adanta, Cumberland River, and Lifeskills"
Brescia University,KY,"Kentucky River, Mountain, and Pathways"
