,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
3138,mesa community college,85202-4866     ,Public,207,628170,600993,1,0,2000,1214,652038,969539,Mesa,11955.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3139,mesa community college,85202-4866     ,Public,207,628170,600993,1,0,2000,1214,652038,969539,Tucson,7803.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3140,mohave community college,86409-1238     ,Public,66,130850,152451,0,0,0,328,129690,181705,Kingman,23883.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3141,northern arizona university,86011-0001     ,Public,341,725836,552233,445,0,977427,834,458325,812985,Flagstaff,22686.0,Rural North,Arizona,Rural North,0.0708443986,2012.0
3142,northland pioneer college,86025-0610     ,Public,46,121623,85235,0,0,0,90,58166,80452,Holbrook,11670.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3143,paradise valley community college,85032-1210     ,Public,43,132525,145917,0,0,0,338,149973,207421,Phoenix,11063.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3144,phoenix college,85013-4234     ,Public,156,431247,537986,0,0,0,371,392382,294500,Phoenix,12029.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3145,prescott college,86301-2990     ,Private/Non-Profit,101,99015,109919,0,0,0,60,60053,92831,Prescott,38249.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3146,scottsdale community college,85256-2626     ,Public,58,146850,163174,0,0,0,251,162142,193296,Scottsdale,12024.0,Rural South,Arizona,Rural South,0.0705403457,2012.0
3147,south mountain community college,85042-5898     ,Public,45,125842,115765,0,0,0,231,126287,119973,Phoenix,11848.0,Rural South,Arizona,Rural South,0.0705403457,2012.0
3148,southwest university of visual arts,85716-2505     ,Proprietary,18,52415,59231,0,0,0,111,74593,97351,Tucson,44876.0,Rural South,Arizona,Rural South,0.0705403457,2012.0
3149,tohono o'odham community college,85634-3129     ,Public,0,1765,0,0,0,0,9,5000,5000,Sells,11946.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3150,university of advancing computer technology,85283-1056     ,Proprietary,17,61944,55248,0,0,0,359,73133,97467,Tempe,33865.0,Rural North,Arizona,Rural North,0.0708443986,2012.0
3151,university of arizona (the),85721-0066     ,Public,898,1583535,2486899,373,0,1084095,218,899913,641090,Tucson,23153.0,Rural North,Arizona,Rural North,0.0708443986,2012.0
3152,university of phoenix,85282-2371     ,Proprietary,0,0,0,213,0,745621,15599,6000000,8407427,Tempe,23612.0,Rural South,Arizona,Rural South,0.0705403457,2012.0
3153,university of phoenix,85282-2371     ,Proprietary,0,0,0,213,0,745621,15599,6000000,8407427,Phoenix,19797.0,Rural South,Arizona,Rural South,0.0705403457,2012.0
3154,western international university,85021-2718     ,Proprietary,0,0,0,16,0,36000,109,88830,127492,Tempe,27354.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3155,yavapai college,86301-3297     ,Public,66,117487,161543,5,0,11553,105,99472,132629,Prescott,9952.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3156,academy of art university,94105-3410     ,Proprietary,156,450000,497975,0,0,0,2640,801885,783166,San Francisco,34848.0,Region 10,California,Region 10,0.064601696,2012.0
3157,allan hancock college,93454-6399     ,Public,83,141801,131838,0,0,0,346,145826,144150,Santa Maria,10821.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3158,american jewish university,90077-1599     ,Private/Non-Profit,30,34252,32545,0,0,0,49,7498,20000,Los Angeles,44144.0,Region 12R,California,Region 12R,0.0659277508,2012.0
3159,american river college,95841-4286     ,Public,547,1440045,1644114,0,0,0,4762,1780347,2257950,Sacramento,11417.0,Region 7R (Contra Costa),California,Region 7R (Contra Costa),0.0646392506,2012.0
3160,american university of health sciences,90755-3612     ,Proprietary,2,5435,6795,0,0,0,9,1563,2551,Signal Hill,72143.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3161,antelope valley college,93536-5426     ,Public,111,253782,310168,0,0,0,356,262509,281750,Lancaster,11707.0,Region 21R,California,Region 21R,0.0685640707,2012.0
3162,argosy university,92868-4844     ,Proprietary,1111,3977682,3901319,188,0,740171,5628,2238926,3627796,Santa Ana,26876.0,Region 21R,California,Region 21R,0.0685640707,2012.0
3163,argosy university,92868-4844     ,Proprietary,1111,3977682,3901319,188,0,740171,5628,2238926,3627796,Ontario,26065.0,Region 21R,California,Region 21R,0.0685640707,2012.0
3164,argosy university,92868-4844     ,Proprietary,1111,3977682,3901319,188,0,740171,5628,2238926,3627796,San Diego,26876.0,Region 21R,California,Region 21R,0.0685640707,2012.0
3165,art center college of design,91103-1999     ,Private/Non-Profit,328,194511,376265,11,0,51200,375,197376,289311,Pasadena,54597.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
3166,ashford university,92123-1406     ,Proprietary,228,585950,488170,0,0,0,10635,4000000,5529171,San Diego,23970.0,Region 7R (Contra Costa),California,Region 7R (Contra Costa),0.0646392506,2012.0
3167,azusa pacific university,91702-7000     ,Private/Non-Profit,1313,884984,1106230,191,0,490549,391,432363,540453,Azusa,42779.0,Region 21R,California,Region 21R,0.0685640707,2012.0
3168,bakersfield college,93305-1299     ,Public,259,510457,470026,0,0,0,1978,534029,604320,Bakersfield,8522.0,Region 21R,California,Region 21R,0.0685640707,2012.0
3169,barstow community college,92311-6608     ,Public,28,113100,103794,0,0,0,305,101388,111375,Barstow,12913.0,Region 16R (San Diego),California,Region 16R (San Diego),0.064764254,2012.0
