,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
3096,le cordon bleu college of culinary arts,91101-5221     ,Proprietary,174,373800,389280,0,0,0,884,512236,666099,Dallas,20666.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3097,le cordon bleu college of culinary arts,91101-5221     ,Proprietary,174,373800,389280,0,0,0,884,512236,666099,Dallas,20666.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3098,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Scottsdale,24348.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3099,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Scottsdale,24348.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3100,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Scottsdale,24348.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3101,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Scottsdale,24348.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3102,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Pasadena,24751.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3103,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Pasadena,24751.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3104,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Pasadena,24751.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3105,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Pasadena,24751.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3106,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Portland,23080.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3107,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Portland,23080.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3108,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Portland,23080.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3109,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Portland,23080.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3110,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Austin,19703.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3111,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Austin,19703.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3112,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Austin,19703.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3113,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Austin,19703.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3114,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Dallas,20666.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3115,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Dallas,20666.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3116,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Dallas,20666.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3117,le cordon bleu college of culinary arts,97205-2793     ,Proprietary,87,108700,193994,0,0,0,535,202498,190931,Dallas,20666.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3118,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Scottsdale,24348.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3119,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Scottsdale,24348.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3120,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Scottsdale,24348.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3121,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Scottsdale,24348.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3122,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Pasadena,24751.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3123,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Pasadena,24751.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3124,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Pasadena,24751.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3125,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Pasadena,24751.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3126,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Portland,23080.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3127,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Portland,23080.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3128,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Portland,23080.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3129,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Portland,23080.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3130,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Austin,19703.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3131,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Austin,19703.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3132,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Austin,19703.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3133,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Austin,19703.0,Region 8,Texas,Region 8,0.0656251739,2012.0
3134,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Dallas,20666.0,Maricopa,Arizona,Maricopa,0.070304993,2012.0
3135,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Dallas,20666.0,Region 8R (Alameda),California,Region 8R (Alameda),0.0636359011,2012.0
3136,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Dallas,20666.0,Region 2,Oregon,Region 2,0.0837857657,2012.0
3137,le cordon bleu college of culinary arts,78758-3647     ,Proprietary,125,220200,264937,0,0,0,1504,383600,463760,Dallas,20666.0,Region 8,Texas,Region 8,0.0656251739,2012.0
