,School,State,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award, FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,value,year,location
63,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,296,27901.0,0.0532399619,2013.0,0
64,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,211,26549.0,0.0532399619,2013.0,0
65,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,1334,22707.0,0.0532399619,2013.0,0
66,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,235,30890.0,0.0532399619,2013.0,0
67,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,1003,25172.0,0.0532399619,2013.0,1
68,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,296,27901.0,0.0532399619,2013.0,1
69,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,211,26549.0,0.0532399619,2013.0,1
70,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,1334,22707.0,0.0532399619,2013.0,1
71,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,235,30890.0,0.0532399619,2013.0,1
72,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,858,43594.0,0.0532399619,2013.0,8
73,625,0,862,1,18.0,29642.0,29954,0.0,0.0,0.0,135.0,24849.0,32891.0,1016,24939.0,0.0532399619,2013.0,8
74,643,0,843,2,78.0,167530.0,149190,0.0,0.0,0.0,426.0,168820.0,272600.0,445,10247.0,0.0542254962,2013.0,4
75,653,0,856,2,64.0,130331.0,127446,0.0,0.0,0.0,274.0,134251.0,127858.0,332,8140.0,0.0542254962,2013.0,4
76,654,0,823,2,74.0,169681.0,166906,0.0,0.0,0.0,313.0,191727.0,162407.0,504,10822.0,0.0527178321,2013.0,7
77,655,0,869,2,43.0,86005.0,93392,0.0,0.0,0.0,232.0,118409.0,121496.0,1126,14835.0,0.0527178321,2013.0,7
78,705,0,850,2,31.0,48252.0,30175,0.0,0.0,0.0,139.0,51784.0,67246.0,788,9955.0,0.0527178321,2013.0,7
79,736,0,838,0,5.0,7124.0,5611,0.0,0.0,0.0,23.0,5544.0,6670.0,410,21160.0,0.0527178321,2013.0,7
80,769,0,849,0,176.0,100375.0,112011,54.0,0.0,80750.0,102.0,92714.0,92714.0,788,31433.0,0.0542254962,2013.0,4
81,818,0,854,2,185.0,421149.0,405337,0.0,0.0,0.0,471.0,217689.0,207323.0,576,19202.0,0.0542254962,2013.0,4
82,825,0,860,2,25.0,30989.0,32027,0.0,0.0,0.0,53.0,28890.0,31400.0,152,9149.0,0.0532399619,2013.0,5
83,826,0,828,2,120.0,435096.0,386771,0.0,0.0,0.0,640.0,336833.0,426267.0,118,12943.0,0.0532399619,2013.0,5
84,838,0,870,0,61.0,48153.0,64204,7.0,0.0,24800.0,27.0,10939.0,14585.0,716,27815.0,0.0483351449,2013.0,6
85,921,0,829,2,161.0,249714.0,272212,0.0,0.0,0.0,163.0,118265.0,77945.0,118,12602.0,0.0532399619,2013.0,5
86,981,0,859,2,101.0,149009.0,139246,0.0,0.0,0.0,134.0,50636.0,48236.0,34,13204.0,0.0527178321,2013.0,7
