,School,Zip Code,School Type,FEDERAL WORK Recipients,FEDERAL WORK $ Federal Award,FEDERAL WORK Disbursements,PERKINS LOAN Recipients,PERKINS LOAN $ Federal Award,PERKINS LOAN Disbursements,FEDERAL SUPPLEMENTAL Recipients,FEDERAL SUPPLEMENTAL $ Federal Award,FEDERAL SUPPLEMENTAL Disbursements,CITY,TuitionAmount,region,State,Substate Region,value,year
151,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
152,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
153,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
154,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
155,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
156,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
157,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Ravenna,28194.0,Region 6,Texas,Region 6,0.0733139316,2014.0
159,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
160,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
161,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
162,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
163,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
164,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
165,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
166,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Cuyahoga Falls,25399.0,Region 6,Texas,Region 6,0.0733139316,2014.0
168,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
169,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Region 3,Alabama,Region 3,0.0772246569,2014.0
170,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Circuit 10,Florida,Circuit 10,0.0761484133,2014.0
171,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Circuit 1,Florida,Circuit 1,0.0866223317,2014.0
172,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Regions 2 and 9,Louisiana,Regions 2 and 9,0.0805184193,2014.0
173,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,"Boards 2, 46, 55, and 68",Ohio,"Boards 2, 46, 55, and 68",0.0915298429,2014.0
174,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Boards 23 and 45,Ohio,Boards 23 and 45,0.0957418227,2014.0
175,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Centerville,25226.0,Region 6,Texas,Region 6,0.0733139316,2014.0
177,fortis college,366083712,Proprietary,29,81448,65630,0,0,0,622,103000,165369,Westerville,23668.0,Region 2,Alabama,Region 2,0.0816633991,2014.0
